report_date,unique_material_id,material_id_list,channel_material_id_list,original_title_list,original_url_list,corrected_url_list,corrected_title_list,cost,new_buyer_cnt,newer_cost
20251101,(NULL),"[""rC5thJ9j""'，'""rC5thJ9h""'，'""rC5thJ9i""]","[""7564347242757734438""]","[""VIP自A乔跑步鞋0622443+1+字节+抖音图文+乔丹+运动户外+6921307226280524699+AIGC+0923-166222""'，'""VIP自A乔跑步鞋0622443+3+字节+抖音图文+乔丹+运动户外+6921307226280524699+AIGC+0923-166221""'，'""VIP自A乔跑步鞋0622443+2+字节+抖音图文+乔丹+运动户外+6921307226280524699+AIGC+0923-166223""]","[""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025092310570910593.jpg""'，'""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025092310570669747.jpg""'，'""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025092310571246467.jpg""]",[],[],0.0,0,(NULL)
20251101,(NULL),"[""rCcq8O00""]","[""7545749291823464475""]","[""VIP自AAI爆3跑0079726+3+字节+抖音图文+361°+运动户外+6920117310143935880+AIGC-142979""]","[""https://a.vpimg3.com/upload/merchandise/pdcvis/103623/2025/0110/145/cfcec866-9124-4aef-987f-ebc82c33df4b.jpg""'，'""https://a.vpimg3.com/upload/merchandise/pdcvis/103623/2022/1121/177/ee9e7215-fb99-4631-8614-c59be4dab985.jpg""'，'""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025090113013081355.jpg""'，'""https://a.vpimg3.com/upload/merchandise/pdcvis/103623/2025/0110/90/8384af28-1628-42f6-be7f-5828408dbb8e.jpg""'，'""https://a.vpimg3.com/upload/merchandise/pdcvis/103623/2025/0110/141/fc9ab270-df09-47d9-bc92-f0a0a9417e1c.jpg""]",[],[],0.0,0,(NULL)
20251101,(NULL),"[""rCoMB-1u""'，'""rCoMB-1t""'，'""rClzCxJq""]","[""7559900558269235243""]","[""VIP自AAI爆耐跑0085829+3+字节+抖音图文+耐克+运动户外+6921490228034043031+AIGC-151939""'，'""VIP自AAI爆耐跑0085829+2+字节+抖音图文+耐克+运动户外+6921490228034043031+AIGC-151938""'，'""VIP自AAI爆耐跑0084992+3+字节+横图+耐克+运动户外+6921490228034043031+AIGC-150549""]","[""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025090815391975427.jpg""'，'""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025090915565767112.jpg""'，'""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025090915565516521.jpg""]",[],[],0.02,0,(NULL)
20251101,(NULL),"[""rCp2FyU-""'，'""rCp2FyU8""'，'""rCp2FyU9""]","[""7564319686025478187""]","[""VIP自A骆冲锋衣0087410+1+字节+抖音图文+骆驼+运动户外+6920498781905457181+AIGC-154388""'，'""VIP自A骆冲锋衣0087410+3+字节+抖音图文+骆驼+运动户外+6920498781905457181+AIGC-154390""'，'""VIP自A骆冲锋衣0087410+2+字节+抖音图文+骆驼+运动户外+6920498781905457181+AIGC-154389""]","[""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025091113112598311.jpg""'，'""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025091113112196740.jpg""'，'""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025091113111781906.jpg""]",[],[],0.27,0,(NULL)
20251101,(NULL),"[""rDATZW96""'，'""rDATZW97""'，'""rDATZW98""]","[""7564347281081597990""]","[""VIP自A乔跑步鞋0828342+3+字节+抖音图文+乔丹+运动户外+6921307226280524699+AIGC+0928-171834""'，'""VIP自A乔跑步鞋0828342+2+字节+抖音图文+乔丹+运动户外+6921307226280524699+AIGC+0928-171836""'，'""VIP自A乔跑步鞋0828342+1+字节+抖音图文+乔丹+运动户外+6921307226280524699+AIGC+0928-171835""]","[""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025092810530625511.jpg""'，'""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/202509281053082283.jpg""'，'""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025092810530318959.jpg""]",[],[],0.0,0,(NULL)
20251101,(NULL),"[""rDAXfxSH""'，'""rDAXfxSF""'，'""rDAXfxSG""]","[""7564329252579065919""]","[""VIP自A唐女式毛0828851+1+字节+抖音图文+唐狮+女装+6921598954465379607+AIGC+0928-172615""'，'""VIP自A唐女式毛0828851+2+字节+抖音图文+唐狮+女装+6921598954465379607+AIGC+0928-172616""'，'""VIP自A唐女式毛0828851+3+字节+抖音图文+唐狮+女装+6921598954465379607+AIGC+0928-172614""]","[""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025092814574443594.jpg""'，'""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/202509281457368243.jpg""'，'""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025092814574029597.jpg""]",[],[],0.12,0,(NULL)
20251101,(NULL),"[""rDBPKVV0""'，'""rDBPKVV1""'，'""rDBPKVV2""]","[""7565794020313088042""]","[""VIP自A真男式卫0829356+2+字节+抖音图文+真维斯+男装+6921594695527666199+AIGC+0929-173212""'，'""VIP自A真男式卫0829356+3+字节+抖音图文+真维斯+男装+6921594695527666199+AIGC+0929-173210""'，'""VIP自A真男式卫0829356+1+字节+抖音图文+真维斯+男装+6921594695527666199+AIGC+0929-173211""]","[""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025092820482141725.jpg""'，'""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025092820481589784.jpg""'，'""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025092820480349453.jpg""]",[],[],0.02,0,(NULL)
20251101,(NULL),"[""rDBSrBS_""]","[""7565795532012437542""]","[""VIP自A真男式卫0829386+3+字节+抖音图文+真维斯+男装+6921594695527666199+AIGC+0929-173285""]","[""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025092820544517679.jpg""'，'""https://a.vpimg2.com/upload/merchandise/pdcvis/2025/09/19/176/7542c174-eff0-4a35-ba17-789ea3814739.jpg""'，'""https://a.vpimg2.com/upload/merchandise/pdcvis/2025/09/19/183/ac7c0e0f-9d8a-4eb8-a26b-e03cab7f68bd.jpg""'，'""https://a.vpimg2.com/upload/merchandise/pdcvis/2025/09/19/41/bfd02d12-7f9f-408b-b0c7-6955b2c73f1c.jpg""]",[],[],0.04,0,(NULL)
20251101,(NULL),"[""rDBSrHWe""'，'""rDBSrHWd""'，'""rDBSrHWf""]","[""7566128292160454706""]","[""VIP自A雪男式外0829387+1+字节+抖音图文+雪中飞+男装+6921579996545188360+AIGC+0929-173334""'，'""VIP自A雪男式外0829387+3+字节+抖音图文+雪中飞+男装+6921579996545188360+AIGC+0929-173333""'，'""VIP自A雪男式外0829387+2+字节+抖音图文+雪中飞+男装+6921579996545188360+AIGC+0929-173335""]","[""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/202509282054406210.jpg""'，'""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025092820543391545.jpg""'，'""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025092820543627851.jpg""]",[],[],0.0,0,(NULL)
20251101,(NULL),"[""rDGrQ1GJ""'，'""rDGrQ1GK""'，'""rDGrQ1GL""]","[""7565789178011516971""]","[""VIP自A乔跑步鞋0939949+3+字节+抖音图文+乔丹+运动户外+6921307226280524699+AIGC+1003-174157""'，'""VIP自A乔跑步鞋0939949+2+字节+抖音图文+乔丹+运动户外+6921307226280524699+AIGC+1003-174159""'，'""VIP自A乔跑步鞋0939949+1+字节+抖音图文+乔丹+运动户外+6921307226280524699+AIGC+1003-174158""]","[""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025100206251843275.jpg""'，'""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/202510020625288264.jpg""'，'""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025100206253848183.jpg""]",[],[],0.0,0,(NULL)
20251101,(NULL),"[""rDGrQwcy""'，'""rDGrQwc0""'，'""rDGrQwcz""]","[""7565789109345402918""]","[""VIP自A乔跑步鞋0940136+1+字节+抖音图文+乔丹+运动户外+6921307226280524699+AIGC+1003-174146""'，'""VIP自A乔跑步鞋0940136+2+字节+抖音图文+乔丹+运动户外+6921307226280524699+AIGC+1003-174147""'，'""VIP自A乔跑步鞋0940136+3+字节+抖音图文+乔丹+运动户外+6921307226280524699+AIGC+1003-174145""]","[""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025100214283062386.jpg""'，'""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025100214282491583.jpg""'，'""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025100214275691725.jpg""]",[],[],0.0,0,(NULL)
20251101,(NULL),"[""rDGrQwcy""'，'""rDGrQwc0""'，'""rDGrQwcz""]","[""7567301206772957193""]","[""VIP自A乔跑步鞋0940136+1+字节+抖音图文+乔丹+运动户外+6921307226280524699+AIGC+1003-174146""'，'""VIP自A乔跑步鞋0940136+2+字节+抖音图文+乔丹+运动户外+6921307226280524699+AIGC+1003-174147""'，'""VIP自A乔跑步鞋0940136+3+字节+抖音图文+乔丹+运动户外+6921307226280524699+AIGC+1003-174145""]","[""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025100214283062386.jpg""'，'""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025100214282491583.jpg""'，'""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025100214275691725.jpg""]",[],[],0.0,0,(NULL)
20251101,(NULL),"[""rDMOSNV3""'，'""rDMOSNV1""'，'""rDMOSNV2""]","[""7566913644040355890""]","[""VIP自A耐跑步鞋0989221+2+字节+抖音图文+耐克+运动户外+6920626337655809559+AIGC+1007-181090""'，'""VIP自A耐跑步鞋0989221+1+字节+抖音图文+耐克+运动户外+6920626337655809559+AIGC+1007-181089""'，'""VIP自A耐跑步鞋0989221+3+字节+抖音图文+耐克+运动户外+6920626337655809559+AIGC+1007-181088""]","[""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025100712585374242.jpg""'，'""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025100712590154251.jpg""'，'""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025100712585736405.jpg""]",[],[],0.01,0,(NULL)
20251101,(NULL),"[""rDOsgASj""'，'""rDOsgASl""'，'""rDOsgASk""]","[""7565793983051087922""]","[""VIP自A罗男式衬0993879+1+字节+抖音图文+罗蒙+男装+6920327458652407426+AIGC+1009-182518""'，'""VIP自A罗男式衬0993879+2+字节+抖音图文+罗蒙+男装+6920327458652407426+AIGC+1009-182519""'，'""VIP自A罗男式衬0993879+3+字节+抖音图文+罗蒙+男装+6920327458652407426+AIGC+1009-182517""]","[""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025100912041953627.jpg""'，'""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025100912042266065.jpg""'，'""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025100912041528492.jpg""]",[],[],0.0,0,(NULL)
20251101,(NULL),"[""rDQGI9Pm""]","[""7559908281940426815""]","[""VIP自A马女式牛0056115+3+字节+抖音图文+马克华菲+女装+6921026396486266245+AIGC+1010-183908""]","[""https://a.vpimg2.com/upload/merchandise/pdcvis/2024/08/09/120/c43846a2-4b0c-4195-bbef-10186e4c3be1.jpg""'，'""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025101013020022787.jpg""'，'""https://a.vpimg2.com/upload/merchandise/pdcvis/2024/08/09/91/3a1b2d88-6f7c-4139-ba48-03ac409b48bf.jpg""'，'""https://a.vpimg2.com/upload/merchandise/pdcvis/2024/08/09/182/67389138-0892-4485-9df5-36867d23a7b9.jpg""'，'""https://a.vpimg2.com/upload/merchandise/pdcvis/2024/08/09/199/0159d013-b368-4f36-86f6-3586d1e04c3a.jpg""]",[],[],0.0,0,(NULL)
